,Unnamed: 0,Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,country_id,Latitude,Longitude
0,0,Switzerland,Western Europe,1,7.5870000000000015,0.03411,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678000000000004,2.51738,143,46.818188,8.227511999999999
1,1,Iceland,Western Europe,2,7.561,0.04884,1.30232,1.40223,0.94784,0.6287699999999999,0.14145,0.4363,2.70201,61,64.96305100000001,-19.020835
2,2,Denmark,Western Europe,3,7.527,0.033280000000000004,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,39,56.26392,9.501785
3,3,Norway,Western Europe,4,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,109,60.472024,8.468946
4,4,Canada,North America,5,7.427,0.03553,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,26,56.130366,-106.34677099999999
5,5,Finland,Western Europe,6,7.4060000000000015,0.0314,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955,47,61.92411,25.7481511
6,6,Netherlands,Western Europe,7,7.377999999999999,0.02799,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657,103,52.132633,5.291266
7,7,Sweden,Western Europe,8,7.364,0.03157,1.33171,1.2890700000000002,0.91087,0.6598,0.43844,0.36262,2.3711900000000004,142,60.128161,18.643501
8,8,New Zealand,Australia and New Zealand,9,7.286,0.033710000000000004,1.2501799999999998,1.31967,0.90837,0.6393800000000001,0.42922,0.47501,2.26425,104,-40.900557,174.88597099999998
9,9,Australia,Australia and New Zealand,10,7.284,0.04083,1.33358,1.30923,0.93156,0.6512399999999999,0.35637,0.43562,2.26646,7,-25.274398,133.775136
10,10,Israel,Middle East and Northern Africa,11,7.278,0.0347,1.2285700000000002,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854,67,31.046051000000002,34.851612
11,11,Costa Rica,Latin America and Caribbean,12,7.226,0.04454,0.95578,1.23788,0.8602700000000001,0.63376,0.10583,0.25497,3.17728,35,9.748917,-83.753428
12,12,Austria,Western Europe,13,7.2,0.03751,1.33723,1.29704,0.8904200000000001,0.62433,0.18676,0.33088,2.5332,8,47.516231,14.550072
13,13,Mexico,Latin America and Caribbean,14,7.187,0.041760000000000005,1.02054,0.91451,0.8144399999999999,0.48181,0.21312,0.14074,3.6021400000000003,94,23.634501,-102.552784
14,14,United States,North America,15,7.119,0.03839,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,159,37.09024,-95.712891
15,15,Brazil,Latin America and Caribbean,16,6.983,0.040760000000000005,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,20,-14.235004,-51.92528
16,16,Luxembourg,Western Europe,17,6.9460000000000015,0.03499,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034000000000003,1.96961,85,49.815273,6.129583
17,17,Ireland,Western Europe,18,6.94,0.03676,1.33596,1.36948,0.89533,0.6177699999999999,0.28703,0.45901,1.9757,66,53.1423672,-7.6920535999999995
18,18,Belgium,Western Europe,19,6.937,0.03595,1.30782,1.28566,0.8966700000000001,0.5845,0.2254,0.2225,2.4148400000000003,13,50.503887,4.469936
19,19,United Arab Emirates,Middle East and Northern Africa,20,6.901,0.03729,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,157,23.424076,53.847818000000004
20,20,United Kingdom,Western Europe,21,6.867000000000001,0.01866,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,1.96994,158,55.378051,-3.435973
21,21,Oman,Middle East and Northern Africa,22,6.853,0.05335,1.36011,1.08182,0.76276,0.63274,0.32524000000000003,0.21542,2.4748900000000003,110,21.4735329,55.975413
22,22,Venezuela,Latin America and Caribbean,23,6.81,0.06476,1.04424,1.25596,0.7205199999999999,0.42908,0.11069,0.05841,3.19131,162,6.42375,-66.58973
23,23,Singapore,Southeastern Asia,24,6.797999999999999,0.0378,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.88501,128,1.352083,103.819836
24,24,Panama,Latin America and Caribbean,25,6.7860000000000005,0.0491,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848,113,8.537981,-80.782127
25,25,Germany,Western Europe,26,6.75,0.01848,1.32792,1.29937,0.89186,0.6147699999999999,0.21843,0.28214,2.1156900000000003,51,51.165690999999995,10.451526
26,26,Chile,Latin America and Caribbean,27,6.67,0.058,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363000000000004,2.67585,29,-35.675146999999996,-71.542969
27,27,Qatar,Middle East and Northern Africa,28,6.6110000000000015,0.06257,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,120,25.354826,51.183884
28,28,France,Western Europe,29,6.575,0.03512,1.27778,1.2603799999999998,0.94579,0.55011,0.20646,0.12332,2.21126,48,46.227638,2.213749
29,29,Argentina,Latin America and Caribbean,30,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.8360000000000003,5,-38.416097,-63.616671999999994
30,30,Czech Republic,Central and Eastern Europe,31,6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,38,49.817492,15.472961999999999
31,31,Uruguay,Latin America and Caribbean,32,6.485,0.04539,1.06166,1.2089,0.8116,0.6036199999999999,0.24558,0.2324,2.3214200000000003,160,-32.522779,-55.765834999999996
32,32,Colombia,Latin America and Caribbean,33,6.477,0.05051,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18401,2.85737,31,4.570868,-74.297333
33,33,Thailand,Southeastern Asia,34,6.455,0.03557,0.9669,1.26504,0.7385,0.5566399999999999,0.03187,0.5763,2.31945,149,15.870032,100.992541
34,34,Saudi Arabia,Middle East and Northern Africa,35,6.4110000000000005,0.04633,1.39541,1.0839299999999998,0.72025,0.31048000000000003,0.32524000000000003,0.13706,2.43872,124,23.885942,45.079162
35,35,Spain,Western Europe,36,6.329,0.03468,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,2.12367,137,40.463667,-3.7492199999999998
36,36,Malta,Western Europe,37,6.3020000000000005,0.04206,1.2074,1.30203,0.88721,0.60365,0.13585999999999998,0.51752,1.6488,91,35.937496,14.375416
37,37,Taiwan,Eastern Asia,38,6.297999999999999,0.03868,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,2.32323,145,23.69781,120.96051499999999
38,38,Kuwait,Middle East and Northern Africa,39,6.295,0.04456,1.5542200000000002,1.16594,0.72492,0.55499,0.25609,0.16228,1.87634,76,29.311659999999996,47.481766
39,39,Suriname,Latin America and Caribbean,40,6.269,0.09811,0.99534,0.972,0.6082,0.5965699999999999,0.13633,0.16990999999999998,2.79094,140,3.9193050000000005,-56.02778299999999
40,40,Trinidad and Tobago,Latin America and Caribbean,41,6.167999999999998,0.10895,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2.2688200000000003,151,10.691803,-61.222503
41,41,El Salvador,Latin America and Caribbean,42,6.13,0.05618,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,3.035,44,13.794185,-88.89653
42,42,Guatemala,Latin America and Caribbean,43,6.122999999999998,0.05224,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2.74255,54,15.783470999999999,-90.23075899999999
43,43,Uzbekistan,Central and Eastern Europe,44,6.002999999999999,0.04361,0.63244,1.34043,0.59772,0.6582100000000001,0.30826,0.22837,2.23741,161,41.377491,64.585262
44,44,Slovakia,Central and Eastern Europe,45,5.995,0.04267,1.16891,1.26999,0.7890199999999999,0.31751,0.03431,0.16893,2.2463900000000003,129,48.669026,19.699023999999998
45,45,Japan,Eastern Asia,46,5.987,0.03581,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435,71,36.204824,138.252924
46,46,South Korea,Eastern Asia,47,5.984,0.04098,1.24461,0.95774,0.96538,0.33208000000000004,0.07857,0.18557,2.21978,135,35.907757000000004,127.766922
47,47,Ecuador,Latin America and Caribbean,48,5.975,0.04528,0.8640200000000001,0.99903,0.79075,0.48574,0.1809,0.11540999999999997,2.53942,42,-1.8312389999999998,-78.183406
48,48,Bahrain,Middle East and Northern Africa,49,5.96,0.05412,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797,10,26.0667,50.5577
49,49,Italy,Western Europe,50,5.948,0.03914,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,2.02518,68,41.87194,12.56738
50,50,Bolivia,Latin America and Caribbean,51,5.89,0.05642000000000001,0.68133,0.97841,0.5392,0.57414,0.08800000000000001,0.20536,2.82334,17,-16.290154,-63.588653
51,51,Moldova,Central and Eastern Europe,52,5.8889999999999985,0.03799,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,3.10712,95,47.411631,28.369884999999996
52,52,Paraguay,Latin America and Caribbean,53,5.877999999999999,0.04563,0.75985,1.30477,0.66098,0.53899,0.08242000000000001,0.3424,2.18896,114,-23.442503,-58.44383199999999
53,53,Kazakhstan,Central and Eastern Europe,54,5.855,0.04114,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,2.24729,73,48.019573,66.923684
54,54,Slovenia,Central and Eastern Europe,55,5.848,0.04251,1.18498,1.27385,0.8733700000000001,0.60855,0.03787,0.25328,1.61583,130,46.151241,14.995463
55,55,Lithuania,Central and Eastern Europe,56,5.832999999999998,0.03843,1.14723,1.25745,0.73128,0.21342,0.01031,0.026410000000000003,2.4464900000000003,84,55.169438,23.881275
56,56,Nicaragua,Latin America and Caribbean,57,5.8279999999999985,0.05371,0.59325,1.14184,0.7431399999999999,0.55475,0.19317,0.27815,2.32407,105,12.865416,-85.207229
57,57,Peru,Latin America and Caribbean,58,5.824,0.04615,0.9001899999999999,0.97459,0.73017,0.4149600000000001,0.05989,0.14982,2.5945,115,-9.189967,-75.015152
58,58,Belarus,Central and Eastern Europe,59,5.813,0.03938,1.0319200000000002,1.23289,0.7360800000000001,0.37938,0.1909,0.11046,2.1309,12,53.709807,27.953389
59,59,Poland,Central and Eastern Europe,60,5.791,0.04263,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759000000000002,1.86565,117,51.919438,19.145135999999997
